trade_date,ts_code,name,signal,direction,close,pct_chg,volume_ratio,turnover_rate_f,main_net_pct,winner_rate,rsi_6,bull_count
20260324,688519.SH,南亚新材,S5_机构龙虎榜净买入,LONG,157.0,18.0274,1.13,8.9446,-0.2830164189759228,99.18,72.736,2
20260324,300391.SZ,长药退,S5_机构龙虎榜净买入,LONG,0.41,17.1429,1.07,27.0834,0.0,75.54,35.623,1
20260324,301183.SZ,东田微,S5_机构龙虎榜净买入,LONG,158.0,16.4591,2.41,23.5282,1.6153251856943842,90.0,60.798,4
20260324,688272.SH,富吉瑞,S5_机构龙虎榜净买入,LONG,39.6,15.5193,3.19,21.6892,-0.41533293948856465,88.44,70.96,3
20260324,301609.SZ,山大电力,S5_机构龙虎榜净买入,LONG,58.81,15.5176,2.16,41.286,0.4059904289665199,91.7,66.307,5
20260324,600666.SH,奥瑞德,S5_机构龙虎榜净买入,LONG,4.8,10.0917,1.06,18.5779,0.6854139849274445,75.01,65.715,5
20260324,600186.SH,莲花控股,S5_机构龙虎榜净买入,LONG,6.77,10.0813,0.94,13.8834,1.457011204308397,80.63,58.264,5
20260324,600510.SH,黑牡丹,S5_机构龙虎榜净买入,LONG,8.42,10.0654,1.56,3.4716,0.26624896662750736,18.27,43.856,3
20260324,600698.SH,湖南天雁,S5_机构龙虎榜净买入,LONG,7.44,10.0592,2.65,5.6505,1.9791033992255502,83.15,48.887,4
20260324,000677.SZ,恒天海龙,S5_机构龙虎榜净买入,LONG,4.93,10.0446,1.03,14.88,2.2374049228647093,82.17,58.199,5
20260324,600821.SH,金开新能,S5_机构龙虎榜净买入,LONG,11.07,10.0398,1.07,40.5896,0.8745942755975215,85.6,63.962,5
20260324,000537.SZ,绿发电力,S5_机构龙虎榜净买入,LONG,11.95,10.0368,1.11,28.0205,0.788843429289064,86.72,65.07,4
20260324,605299.SH,舒华体育,S5_机构龙虎榜净买入,LONG,16.13,10.0273,1.27,38.8695,0.2877582602557491,99.83,77.939,4
20260324,002218.SZ,拓日新能,S5_机构龙虎榜净买入,LONG,7.25,10.0152,1.65,21.4224,1.0991774862347903,98.73,81.333,5
20260324,000688.SZ,国城矿业,S5_机构龙虎榜净买入,LONG,35.86,10.0,1.46,11.8094,0.764183440802216,75.83,63.35,2
20260324,001203.SZ,大中矿业,S5_机构龙虎榜净买入,LONG,40.26,10.0,2.0,14.0853,0.6217997703554785,79.87,67.46,3
20260324,002498.SZ,汉缆股份,S5_机构龙虎榜净买入,LONG,8.8,10.0,1.11,27.2125,3.7725151975683886,33.61,48.954,2
20260324,000601.SZ,韶能股份,S5_机构龙虎榜净买入,LONG,8.06,9.9591,2.4,38.7102,1.0309305898857641,88.98,68.558,6
20260324,002256.SZ,兆新股份,S5_机构龙虎榜净买入,LONG,4.87,7.5055,1.42,33.8819,0.2190379796069007,99.12,84.446,5
20260324,001382.SZ,新亚电缆,S5_机构龙虎榜净买入,LONG,22.88,7.1161,1.0,30.5533,0.0460692716074622,73.85,51.734,4
20260324,601218.SH,吉鑫科技,S5_机构龙虎榜净买入,LONG,7.62,5.9805,1.14,35.1063,-0.1976216517735072,92.18,72.556,3
20260324,603843.SH,*ST正平,S5_机构龙虎榜净买入,LONG,8.95,5.0469,0.7,5.37,-0.47072199872962106,98.45,94.919,2
20260324,600107.SH,ST尔雅,S5_机构龙虎榜净买入,LONG,5.87,5.0089,0.94,1.7551,0.2752945603021202,37.58,64.507,3
20260324,000862.SZ,银星能源,S5_机构龙虎榜净买入,LONG,9.01,3.3257,1.65,38.4582,-0.2598941865197384,91.28,82.167,4
20260324,603248.SH,锡华科技,S5_机构龙虎榜净买入,LONG,28.2,3.0325,0.75,36.1659,-0.2422253047645635,89.45,50.289,2
20260324,920028.BJ,N新恒泰,S5_机构龙虎榜净买入,LONG,18.9,2.107,,35.5741,,13.77,1.828,1
20260324,603687.SH,大胜达,S5_机构龙虎榜净买入,LONG,14.75,0.1358,3.21,53.1504,-0.5453999189495117,77.24,93.719,3
20260324,002565.SZ,顺灏股份,S5_机构龙虎榜净买入,LONG,16.91,-0.4122,1.21,36.2326,-1.3025821992982998,81.21,64.371,2
20260324,600759.SH,洲际油气,S5_机构龙虎榜净买入,LONG,6.44,-5.5718,0.82,13.4712,0.1982811462430402,19.34,35.715,3
20260324,600096.SH,云天化,S5_机构龙虎榜净买入,LONG,34.51,-5.9417,1.64,10.5598,0.0720129924539277,12.6,16.623,3
20260324,001373.SZ,翔腾新材,S7_底部共振,LONG,34.84,5.8002,1.34,10.0632,0.024100283901135756,31.67,28.157,2
20260324,002548.SZ,金新农,S7_底部共振,LONG,5.39,5.2734,0.87,4.3539,0.4343191169644471,10.35,27.099,2
20260324,002190.SZ,成飞集成,S7_底部共振,LONG,30.28,4.6303,1.89,5.5024,0.5616438829410528,49.43,27.427,3
20260324,688533.SH,上声电子,S7_底部共振,LONG,25.41,4.439,0.53,4.0731,0.03268136534519968,5.56,23.635,3
20260324,000882.SZ,华联股份,S7_底部共振,LONG,1.65,4.4304,1.19,4.1074,0.6064318529862178,28.54,29.305,1
20260324,002996.SZ,顺博合金,S7_底部共振,LONG,6.87,4.4073,0.8,5.0263,0.4668417644021992,15.97,27.397,1
20260324,600547.SH,山东黄金,S7_底部共振,LONG,38.67,4.4006,1.02,3.757,0.12874947099315073,9.35,26.393,3
20260324,000655.SZ,金岭矿业,S7_底部共振,LONG,8.64,4.3478,1.02,5.2586,0.06778749282008725,10.72,24.583,2
20260324,688558.SH,国盛智科,S7_底部共振,LONG,27.44,4.0971,1.22,3.773,0.3627433630352494,8.51,29.779,3
20260324,002526.SZ,山东矿机,S7_底部共振,LONG,3.33,4.0625,0.85,2.7163,0.210026138307141,9.27,26.71,4
20260324,002520.SZ,日发精机,S7_底部共振,LONG,5.66,4.0441,1.15,7.5875,0.2081517740308146,37.31,28.446,1
20260324,002277.SZ,友阿股份,S7_底部共振,LONG,6.18,4.0404,1.11,2.7064,0.425629893192722,7.54,29.182,3
20260324,002942.SZ,新农股份,S7_底部共振,LONG,18.62,4.0223,0.99,5.6266,0.06651010544440948,8.82,29.011,2
20260324,603086.SH,先达股份,S7_底部共振,LONG,7.26,4.0115,0.73,3.7205,0.10452730752713259,52.14,29.035,2
20260324,300411.SZ,金盾股份,S7_底部共振,LONG,10.12,4.0082,1.0,2.0685,0.4258998227099473,52.63,29.205,1
20260324,002453.SZ,华软科技,S7_底部共振,LONG,5.46,4.0,0.99,2.8841,0.14863318094937508,46.5,28.881,2
20260324,603313.SH,梦百合,S7_底部共振,LONG,8.07,3.9948,0.95,2.4433,0.04089935476169953,4.89,29.071,2
20260324,002206.SZ,海利得,S7_底部共振,LONG,6.03,3.9655,1.0,2.784,0.545256819159383,13.92,27.627,2
20260324,301212.SZ,联盛化学,S7_底部共振,LONG,26.49,3.9639,0.76,5.89,0.4813597397608639,8.11,29.226,2
20260324,002513.SZ,蓝丰生化,S7_底部共振,LONG,6.3,3.9604,0.79,5.5067,0.6067672566500528,46.46,29.026,1
20260324,000753.SZ,漳州发展,S7_底部共振,LONG,6.34,3.9344,1.1,3.1392,0.749114580735272,8.68,29.635,2
20260324,603995.SH,甬金股份,S7_底部共振,LONG,16.97,3.9192,0.73,1.9673,0.12117311966349581,7.72,28.85,3
